CustomerID,Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
75722,35,Female,33,22.21,Month-to-month,Credit card,760.73,Yes
80185,77,Male,29,136.21,One year,Credit card,3923.22,No
19865,31,Male,58,125.31,Month-to-month,Mailed check,7293.29,Yes
76700,20,Female,48,74.83,Two year,Mailed check,3601.89,No
92992,30,Other,66,87.44,Month-to-month,Electronic check,5747.3,No
76435,73,Male,44,64.53,One year,Credit card,2837.16,No
84005,20,Male,24,15.72,One year,Electronic check,492.41,No
80918,34,Male,10,80.78,One year,Electronic check,870.13,Yes
60768,18,Male,6,28.65,Month-to-month,Bank transfer,248.81,Yes
50075,34,Female,40,109.82,Month-to-month,Bank transfer,4373.53,Yes
27702,76,Female,57,87.12,Two year,Bank transfer,4931.28,No
42142,24,Male,50,22.37,One year,Credit card,1095.6,No
45081,72,Female,1,37.73,Month-to-month,Electronic check,-34.86,Yes
16639,18,Male,10,28.32,Month-to-month,Electronic check,241.54,Yes
20425,45,Male,40,59.46,Two year,Mailed check,2406.44,No
88703,31,Male,14,54.18,Two year,Bank transfer,772.19,No
150,50,Male,7,18.78,Month-to-month,Electronic check,260.91,Yes
1762,71,Female,17,89.74,Two year,Electronic check,1584.62,No
63121,69,Male,48,38.36,Month-to-month,Mailed check,1836.4,No
69162,56,Female,66,25.97,Two year,Mailed check,1668.73,No
64884,23,Female,46,75.8,Month-to-month,Electronic check,3344.19,Yes
2496,64,Male,10,65.59,Month-to-month,Mailed check,601.25,Yes
80297,39,Female,37,86.25,Month-to-month,Bank transfer,3244.44,No
19448,30,Female,29,91.0,Month-to-month,Electronic check,2619.77,No
41332,45,Female,41,91.29,Month-to-month,Bank transfer,3780.65,Yes
14889,49,Male,15,119.2,Month-to-month,Electronic check,1694.97,Yes
88637,20,Female,13,86.62,Month-to-month,Electronic check,1161.05,No
94893,75,Male,55,43.84,Month-to-month,Electronic check,2452.07,No
92732,71,Male,41,70.71,One year,Bank transfer,2889.51,No
29131,76,Male,11,142.18,One year,Electronic check,1472.23,No
79023,46,Other,68,112.01,One year,Bank transfer,7704.09,No
84937,50,Male,29,82.5,Month-to-month,Electronic check,2407.35,No
16822,37,Female,62,99.67,Two year,Credit card,6195.64,No
36734,29,Male,35,101.5,One year,Mailed check,3607.23,Yes
15603,29,Female,65,57.13,One year,Electronic check,3702.7,No
28534,58,Male,37,98.49,Two year,Bank transfer,3645.88,No
69770,42,Other,54,25.92,Two year,Credit card,1432.64,No
11406,55,Male,2,124.64,One year,Electronic check,240.82,Yes
96853,80,Female,19,85.14,One year,Mailed check,1709.57,No
16131,77,Male,27,142.15,One year,Electronic check,3861.99,Yes
19793,33,Male,4,84.88,Month-to-month,Credit card,333.93,Yes
89578,22,Female,1,118.88,Month-to-month,Mailed check,67.98,Yes
40164,28,Female,66,20.74,Two year,Electronic check,1430.31,No
31777,72,Female,10,30.31,Two year,Electronic check,315.93,No
25331,44,Female,59,91.28,Month-to-month,Electronic check,5381.55,No
79157,43,Male,18,11.86,Month-to-month,Credit card,210.55,Yes
51686,20,Female,57,14.89,One year,Mailed check,818.5,No
75499,75,Other,47,15.96,One year,Credit card,798.06,No
4728,52,Female,66,71.32,Month-to-month,Credit card,4776.78,No
85199,74,Female,54,54.83,Month-to-month,Mailed check,2920.36,No
35796,53,Female,56,104.72,Month-to-month,Credit card,5792.44,Yes
12257,45,Male,17,110.78,Month-to-month,Bank transfer,1857.44,Yes
35719,78,Female,55,73.23,Month-to-month,Credit card,4013.59,No
70552,64,Female,1,105.96,Month-to-month,Electronic check,140.71,Yes
54375,55,Male,7,118.29,One year,Bank transfer,738.31,Yes
39692,65,Female,28,43.2,Two year,Bank transfer,1175.1,No
93703,37,Male,47,99.03,Two year,Electronic check,4644.46,No
73692,57,Female,37,101.31,One year,Electronic check,3756.34,No
98071,18,Female,22,45.74,One year,Mailed check,993.68,No
576,54,Male,19,22.7,Month-to-month,Electronic check,459.93,No
84611,77,Male,27,19.14,Month-to-month,Mailed check,483.32,No
61770,65,Female,65,76.36,Two year,Electronic check,5001.61,No
32261,50,Female,41,64.99,One year,Bank transfer,2618.57,No
82200,42,Female,22,123.88,Two year,Mailed check,2720.45,No
36291,34,Female,69,82.3,Month-to-month,Electronic check,5683.05,No
78450,67,Female,45,26.65,Month-to-month,Electronic check,1225.88,No
60056,21,Male,27,61.35,Two year,Mailed check,1756.52,No
45949,73,Female,24,91.56,One year,Bank transfer,2173.46,No
28178,33,Male,53,56.59,Month-to-month,Electronic check,2934.99,Yes
84464,40,Female,71,37.89,Month-to-month,Bank transfer,2699.71,Yes
579,70,Male,14,134.36,Two year,Mailed check,1913.88,No
30960,37,Female,55,94.39,Month-to-month,Credit card,5201.16,No
64291,52,Female,21,85.65,One year,Electronic check,1742.91,No
14532,20,Male,19,80.61,Two year,Bank transfer,1409.85,No
17934,77,Male,54,122.4,One year,Mailed check,6651.04,No
33609,78,Male,65,11.97,Month-to-month,Electronic check,746.42,Yes
